Radius1               | Radius2               | SB                        |   SBError         | BGRD                         |      BGRDError    | BinNo
                68.88 |                72.816 |          1.2162871053e-07 | 4.95745880777e-10 |            2.64880112377e-09 | 7.31586620324e-11 |        167 
               72.816 |                76.752 |         1.09343886512e-07 | 4.58748676043e-10 |            2.61579918829e-09 | 7.09544732597e-11 |        168 
               76.752 |                80.688 |         9.86547391729e-08 | 4.24328495266e-10 |            2.63095805126e-09 | 6.92947248843e-11 |        169 
               80.688 |                84.624 |         9.09714138047e-08 | 3.96319604421e-10 |            2.64191050678e-09 |  6.7538612963e-11 |        170 
               84.624 |                 88.56 |         8.34815681857e-08 | 3.70525036276e-10 |            2.61669607229e-09 | 6.55992558034e-11 |        171 
                88.56 |                92.496 |         7.82957244379e-08 | 3.49508835426e-10 |            2.65955947025e-09 | 6.44160355461e-11 |        172 
               92.496 |                96.432 |         7.32162787795e-08 | 3.32567918392e-10 |            2.60891192701e-09 |  6.2777821626e-11 |        173 
               96.432 |                99.876 |         6.81315298221e-08 | 3.38006284588e-10 |            2.62935848187e-09 | 6.64011527101e-11 |        174 
               99.876 |               104.304 |         6.47580685762e-08 | 2.82394786766e-10 |             2.5866538357e-09 | 5.64389441566e-11 |        175 
              104.304 |                108.24 |         6.06784271247e-08 | 2.81823450964e-10 |            2.64157461421e-09 | 5.88019090335e-11 |        176 
               108.24 |               112.176 |         5.72519812026e-08 | 2.69508591906e-10 |            2.60089453721e-09 | 5.74432130723e-11 |        177 
              112.176 |               116.112 |         5.37541525234e-08 | 2.56855622449e-10 |            2.60423417389e-09 | 5.65357422505e-11 |        178 
              116.112 |               120.048 |         5.07668611479e-08 | 2.45805242353e-10 |            2.61735067502e-09 | 5.58125597037e-11 |        179 
              120.048 |               123.984 |          4.7536311179e-08 | 2.34393620878e-10 |            2.60384540252e-09 | 5.48580836387e-11 |        180 
              123.984 |                127.92 |         4.48337433271e-08 | 2.23555662332e-10 |            2.59096447546e-09 | 5.37420114897e-11 |        181 
               127.92 |               131.856 |         4.21908322577e-08 | 2.13311422999e-10 |            2.57559186543e-09 |  5.2704000427e-11 |        182 
              131.856 |               135.792 |         3.93445100176e-08 | 2.01881578084e-10 |            2.56199530875e-09 | 5.15161959263e-11 |        183 
              135.792 |               139.728 |         3.69203491727e-08 |  1.9272725252e-10 |             2.6195080881e-09 | 5.13357735647e-11 |        184 
              139.728 |               144.156 |          3.5185556214e-08 |  1.7418144562e-10 |            2.57290732747e-09 | 4.71011760226e-11 |        185 
