Bin | Vol (cm^3) | T (kT) | kT_lo  |  kT_hi |  n (cm^-3) |       n_lo |       n_hi | P (erg cm^-3) |       P_lo |       P_hi |      Yparm
 72 | 6.2485e+69 | 8.4828 | 0.4436 | 0.6235 |  0.0041834 | 0.00056082 | 0.00056021 |     5.685e-11 | 8.1805e-12 | 8.6843e-12 | 1.6677e-05
 73 | 9.2249e+69 | 8.5486 | 0.4192 | 0.5862 |  0.0035629 | 0.00048079 |  0.0004812 |    4.8793e-11 | 7.0056e-12 | 7.3907e-12 | 1.6349e-05
 74 | 7.4487e+69 | 9.2588 | 0.6528 | 0.6672 |  0.0038532 | 0.00052297 | 0.00052348 |    5.7152e-11 | 8.7412e-12 | 8.7892e-12 | 1.7864e-05
 75 |  7.755e+69 | 8.4881 |   0.43 |  0.612 |  0.0037511 | 0.00051526 | 0.00051467 |    5.1007e-11 | 7.4678e-12 | 7.9059e-12 | 1.6076e-05
 76 | 8.1346e+69 |  8.492 | 0.4324 | 0.5712 |   0.003632 | 0.00050112 | 0.00050054 |     4.941e-11 | 7.2667e-12 | 7.5771e-12 | 1.5624e-05
 77 | 8.3853e+69 | 8.3464 |  0.427 | 0.5162 |  0.0036064 | 0.00049802 | 0.00049841 |     4.822e-11 | 7.1012e-12 |  7.301e-12 | 1.5369e-05
 78 | 8.4839e+69 | 8.0468 |  0.429 | 0.4341 |  0.0035551 | 0.00049196 | 0.00049166 |    4.5829e-11 | 6.7963e-12 | 6.8032e-12 | 1.4717e-05
 79 | 8.8502e+69 | 8.2861 | 0.4303 | 0.4804 |  0.0034831 | 0.00048215 | 0.00048206 |    4.6236e-11 | 6.8357e-12 | 6.9378e-12 | 1.4961e-05
 80 | 9.0634e+69 | 7.9914 | 0.4241 | 0.4268 |    0.00342 | 0.00048405 | 0.00048388 |    4.3784e-11 | 6.6182e-12 | 6.6214e-12 | 1.4271e-05
 81 | 9.2494e+69 | 7.7807 | 0.4296 | 0.4345 |  0.0033904 | 0.00047308 | 0.00047339 |     4.226e-11 | 6.3417e-12 | 6.3551e-12 | 1.3871e-05
 82 | 9.6179e+69 | 7.1677 | 0.3921 | 0.4235 |  0.0033586 |  0.0004645 | 0.00046444 |    3.8566e-11 | 5.7357e-12 | 5.7994e-12 | 1.2683e-05
 83 |  1.115e+70 |  7.592 | 0.4103 | 0.4147 |  0.0032034 | 0.00043905 | 0.00043875 |    3.8961e-11 |   5.74e-12 |  5.745e-12 | 1.4022e-05
 84 | 1.1109e+70 | 7.5779 | 0.4235 | 0.4276 |  0.0031693 | 0.00043686 | 0.00043545 |    3.8475e-11 | 5.7227e-12 | 5.7148e-12 | 1.3959e-05
 85 | 1.1666e+70 | 7.1875 |  0.393 | 0.4177 |  0.0030618 |  0.0004265 | 0.00042656 |    3.5255e-11 | 5.2757e-12 | 5.3217e-12 | 1.2889e-05
