# 
# Extracted radial surface brightness profile
#  
# SB [counts/s/cm^2/arcsec^2] vs. R [arcsec]
#  
# Date       : Tue Aug 16 15:05:32 2016
# Input file : cygnus_tot_img.fits
# Exp. file  : cygnus_tot_filt_wedgeA_emap.fits
# Bgd. file  : cygnus_tot_all_bmap.fits
# Binmap file: cygA_sn100_radial_binmap.fits
# Exp. time  :            1
# Sky X      :        4067.6845
# Sky Y      :        4029.3591
# X Centroid :       2641.62
# Y Centroid :       2734.39
# Min. counts:        10000
# Pixel scale:       0.49200000
#  
        Radius1      Radius2   SB              SBError         BGRD            BGRDError           AREA    
      314.880      319.308     9.52244E-09     7.89653E-11     2.60238E-09     4.12807E-11     6.26171E+03
      319.308      323.736     9.36144E-09     7.69921E-11     2.58181E-09     4.04331E-11     6.50644E+03
      323.736      328.164     9.20015E-09     7.53150E-11     2.60791E-09     4.00987E-11     6.71316E+03
      328.164      332.592     9.03824E-09     7.46350E-11     2.60826E-09     4.00937E-11     6.74971E+03
      332.592      337.020     8.79341E-09     7.35831E-11     2.61209E-09     4.01046E-11     6.79304E+03
      337.020      341.940     8.58080E-09     6.89093E-11     2.59200E-09     3.78732E-11     7.59742E+03
      341.940      346.860     8.58637E-09     6.84417E-11     2.58999E-09     3.75894E-11     7.75549E+03
      346.860      351.780     8.35207E-09     6.74059E-11     2.58688E-09     3.75136E-11     7.84142E+03
      351.780      356.700     8.18440E-09     6.69527E-11     2.58120E-09     3.75998E-11     7.85304E+03
      356.700      362.112     8.07336E-09     6.35895E-11     2.56619E-09     3.58511E-11     8.67582E+03
      362.112      367.524     7.80652E-09     6.31615E-11     2.56163E-09     3.61811E-11     8.59182E+03
      367.524      372.936     7.62081E-09     6.16327E-11     2.55733E-09     3.57030E-11     8.93797E+03
      372.936      378.348     7.56904E-09     6.12381E-11     2.56880E-09     3.56752E-11     9.11056E+03
      378.348      384.252     7.32603E-09     5.79663E-11     2.57245E-09     3.43491E-11     9.99434E+03
      384.252      390.156     7.09422E-09     5.65946E-11     2.53847E-09     3.38539E-11     1.03371E+04
